Rank,Word,Occurences,Percentage,Cumulative%
8092,ピッコロ,24,0.00127%,86.290%
8093,防水,24,0.00127%,86.291%
8094,制服,24,0.00127%,86.293%
8095,冠する,24,0.00127%,86.294%
8096,真剣,23,0.00122%,86.295%
8097,配送,23,0.00122%,86.296%
8098,援護,23,0.00122%,86.298%
8099,保留,23,0.00122%,86.299%
8100,福岡ドーム,23,0.00122%,86.300%
8101,乗り物,23,0.00122%,86.301%
8102,光合成,23,0.00122%,86.303%
8103,留める,23,0.00122%,86.304%
8104,率,23,0.00122%,86.305%
8105,外交,23,0.00122%,86.306%
8106,性質上,23,0.00122%,86.307%
8107,泡,23,0.00122%,86.309%
8108,最盛期,23,0.00122%,86.310%
8109,念頭,23,0.00122%,86.311%
8110,免れる,23,0.00122%,86.312%
8111,引き取る,23,0.00122%,86.314%
8112,巨人戦,23,0.00122%,86.315%
8113,申し込み,23,0.00122%,86.316%
8114,民進党,23,0.00122%,86.317%
8115,近傍,23,0.00122%,86.318%
8116,奏す,23,0.00122%,86.320%
8117,サマー,23,0.00122%,86.321%
8118,またがる,23,0.00122%,86.322%
8119,アレイ,23,0.00122%,86.323%
8120,ステ,23,0.00122%,86.324%
8121,ガール,23,0.00122%,86.326%
8122,樽,23,0.00122%,86.327%
8123,ゲームセット,23,0.00122%,86.328%
8124,改良版,23,0.00122%,86.329%
8125,鶴岡,23,0.00122%,86.331%
8126,中川,23,0.00122%,86.332%
8127,滅亡,23,0.00122%,86.333%
8128,ガレージ,23,0.00122%,86.334%
8129,往年,23,0.00122%,86.335%
8130,屋上,23,0.00122%,86.337%
8131,席巻,23,0.00122%,86.338%
8132,動軸,23,0.00122%,86.339%
8133,舞,23,0.00122%,86.340%
8134,最先端,23,0.00122%,86.342%
8135,作品群,23,0.00122%,86.343%
8136,節約,23,0.00122%,86.344%
8137,繰り上げる,23,0.00122%,86.345%
8138,体育,23,0.00122%,86.346%
8139,ヒューズ,23,0.00122%,86.348%
8140,中華,23,0.00122%,86.349%
8141,新型機,23,0.00122%,86.350%
8142,不参加,23,0.00122%,86.351%
8143,世紀末,23,0.00122%,86.353%
8144,両側,23,0.00122%,86.354%
8145,はかる,23,0.00122%,86.355%
8146,完走,23,0.00122%,86.356%
8147,漢,23,0.00122%,86.357%
8148,配す,23,0.00122%,86.359%
8149,付け加える,23,0.00122%,86.360%
8150,鉄帽,23,0.00122%,86.361%
8151,悪意,23,0.00122%,86.362%
8152,取り付け,23,0.00122%,86.364%
8153,配分,23,0.00122%,86.365%
8154,協同,23,0.00122%,86.366%
8155,可決,23,0.00122%,86.367%
8156,本格化,23,0.00122%,86.368%
8157,イギリス人,23,0.00122%,86.370%
8158,ヤマハ,23,0.00122%,86.371%
8159,建造物,23,0.00122%,86.372%
8160,多量,23,0.00122%,86.373%
8161,造船所,23,0.00122%,86.375%
8162,チャート登場,23,0.00122%,86.376%
8163,車載,23,0.00122%,86.377%
8164,垣間見る,23,0.00122%,86.378%
8165,幼馴染,23,0.00122%,86.379%
8166,魔女,23,0.00122%,86.381%
8167,掲示板群,23,0.00122%,86.382%
8168,矢印,23,0.00122%,86.383%
8169,大正,23,0.00122%,86.384%
8170,情報局,23,0.00122%,86.386%
8171,キャラクタ,23,0.00122%,86.387%
8172,母音,23,0.00122%,86.388%
8173,海賊版,23,0.00122%,86.389%
8174,究極,23,0.00122%,86.390%
8175,返る,23,0.00122%,86.392%
8176,爪痕,23,0.00122%,86.393%
8177,なさる,23,0.00122%,86.394%
8178,界,23,0.00122%,86.395%
8179,松下電器,23,0.00122%,86.397%
8180,圧縮比,23,0.00122%,86.398%
8181,綾達,23,0.00122%,86.399%
8182,名目,23,0.00122%,86.400%
8183,目玉,23,0.00122%,86.401%
8184,委ねる,23,0.00122%,86.403%
8185,マンション,23,0.00122%,86.404%
8186,電話帳,23,0.00122%,86.405%
8187,搭載車,23,0.00122%,86.406%
8188,遠ざかる,23,0.00122%,86.408%
8189,文句,23,0.00122%,86.409%
8190,ローカル枠,23,0.00122%,86.410%
8191,移籍後,23,0.00122%,86.411%
8192,京都パープルサンガ,23,0.00122%,86.412%
8193,吸う,23,0.00122%,86.414%
8194,胴上げ,23,0.00122%,86.415%
8195,息,23,0.00122%,86.416%
8196,論じる,23,0.00122%,86.417%
8197,初速,23,0.00122%,86.419%
8198,鶴,23,0.00122%,86.420%
8199,いる回,23,0.00122%,86.421%
8200,いろいろ,23,0.00122%,86.422%
8201,和久,23,0.00122%,86.423%
8202,制作者,23,0.00122%,86.425%
8203,弟子,23,0.00122%,86.426%
8204,照準器,23,0.00122%,86.427%
8205,えむ,23,0.00122%,86.428%
8206,さいたま,23,0.00122%,86.430%
8207,自爆,23,0.00122%,86.431%
8208,営業所,23,0.00122%,86.432%
8209,いっしょ,23,0.00122%,86.433%
8210,正義,23,0.00122%,86.434%
8211,規約,23,0.00122%,86.436%
8212,信仰,23,0.00122%,86.437%
8213,健闘,23,0.00122%,86.438%
8214,決選,23,0.00122%,86.439%
8215,ガンバ大阪,23,0.00122%,86.441%
8216,汎用的,23,0.00122%,86.442%
8217,判る,23,0.00122%,86.443%
8218,エリツィン,23,0.00122%,86.444%
8219,生物学,23,0.00122%,86.445%
8220,ペナルティ,23,0.00122%,86.447%
8221,因縁,23,0.00122%,86.448%
8222,鋳造年,23,0.00122%,86.449%
8223,ノックアウト,23,0.00122%,86.450%
8224,スペクトル,23,0.00122%,86.452%
8225,月間,23,0.00122%,86.453%
8226,渚,23,0.00122%,86.454%
8227,ディフェンス,23,0.00122%,86.455%
8228,戦機,23,0.00122%,86.456%
8229,移民,23,0.00122%,86.458%
8230,施策,23,0.00122%,86.459%
8231,２つ,23,0.00122%,86.460%
8232,カジノ,23,0.00122%,86.461%
8233,巧み,23,0.00122%,86.463%
8234,市場向け,23,0.00122%,86.464%
8235,敵対,23,0.00122%,86.465%
8236,スロー,23,0.00122%,86.466%
8237,定まる,23,0.00122%,86.467%
8238,種族,23,0.00122%,86.469%
8239,機能的,23,0.00122%,86.470%
8240,深める,23,0.00122%,86.471%
8241,所得,23,0.00122%,86.472%
8242,彷彿,23,0.00122%,86.474%
8243,都道府県,23,0.00122%,86.475%
8244,合唱,23,0.00122%,86.476%
8245,ジョイント,23,0.00122%,86.477%
8246,パッド,23,0.00122%,86.478%
8247,発射管,23,0.00122%,86.480%
8248,エアバス,23,0.00122%,86.481%
8249,境界線,23,0.00122%,86.482%
8250,密か,23,0.00122%,86.483%
8251,補充,23,0.00122%,86.485%
8252,重要視,23,0.00122%,86.486%
8253,充電,23,0.00122%,86.487%
8254,スクープ,23,0.00122%,86.488%
8255,ユニ,23,0.00122%,86.489%
8256,暗黙,23,0.00122%,86.491%
8257,石川県,23,0.00122%,86.492%
8258,ポテンシャル,23,0.00122%,86.493%
8259,ハズレ,23,0.00122%,86.494%
8260,効く,23,0.00122%,86.496%
8261,折,23,0.00122%,86.497%
8262,等級,23,0.00122%,86.498%
8263,主席,23,0.00122%,86.499%
8264,インストラクション,23,0.00122%,86.500%
8265,日本海,23,0.00122%,86.502%
8266,ネルソン,23,0.00122%,86.503%
8267,モンロー,23,0.00122%,86.504%
8268,残酷,23,0.00122%,86.505%
8269,柔道,23,0.00122%,86.507%
8270,万本,23,0.00122%,86.508%
8271,感知,23,0.00122%,86.509%
8272,ネック,23,0.00122%,86.510%
8273,コル,23,0.00122%,86.511%
8274,コメ,23,0.00122%,86.513%
8275,批評,23,0.00122%,86.514%
8276,フランクフルト,23,0.00122%,86.515%
8277,カメラマン,23,0.00122%,86.516%
8278,カタパルト,23,0.00122%,86.518%
8279,救済,23,0.00122%,86.519%
8280,研,23,0.00122%,86.520%
8281,磁場,23,0.00122%,86.521%
8282,建国,23,0.00122%,86.522%
8283,単座,23,0.00122%,86.524%
8284,ローテーション,23,0.00122%,86.525%
8285,域,23,0.00122%,86.526%
8286,佐々岡,23,0.00122%,86.527%
8287,満ちる,23,0.00122%,86.529%
8288,パソコン向け,23,0.00122%,86.530%
8289,初出,23,0.00122%,86.531%
8290,東欧,23,0.00122%,86.532%
8291,３,23,0.00122%,86.533%
8292,年制,23,0.00122%,86.535%
8293,コブラ,23,0.00122%,86.536%
8294,イレブン,23,0.00122%,86.537%
8295,説明書,23,0.00122%,86.538%
8296,千尋,23,0.00122%,86.540%
8297,入口,23,0.00122%,86.541%
8298,やり方,23,0.00122%,86.542%
8299,条項,23,0.00122%,86.543%
8300,被害者,23,0.00122%,86.544%
8301,年組,23,0.00122%,86.546%
8302,浜田,23,0.00122%,86.547%
8303,停滞,23,0.00122%,86.548%
8304,途絶える,23,0.00122%,86.549%
8305,中央区,23,0.00122%,86.551%
8306,尚,23,0.00122%,86.552%
8307,簡便,23,0.00122%,86.553%
8308,リリース後,23,0.00122%,86.554%
8309,おかげ,23,0.00122%,86.555%
8310,望月,23,0.00122%,86.557%
8311,容姿,23,0.00122%,86.558%
8312,一角,23,0.00122%,86.559%
8313,ローラー,23,0.00122%,86.560%
8314,テクスチャ,23,0.00122%,86.562%
8315,容積,23,0.00122%,86.563%
8316,倉庫,23,0.00122%,86.564%
8317,オペラ,23,0.00122%,86.565%
8318,温泉,23,0.00122%,86.566%
8319,細胞内,23,0.00122%,86.568%
8320,ニュージャージー州,23,0.00122%,86.569%
8321,使用時,23,0.00122%,86.570%
8322,甲板,23,0.00122%,86.571%
8323,広島東洋カープ,23,0.00122%,86.573%
8324,メルセデス・ベンツ,23,0.00122%,86.574%
8325,反省,23,0.00122%,86.575%
8326,日節,23,0.00122%,86.576%
8327,無効化,23,0.00122%,86.577%
8328,賛成,23,0.00122%,86.579%
8329,高気圧,23,0.00122%,86.580%
8330,出身地,23,0.00122%,86.581%
8331,ダート,23,0.00122%,86.582%
8332,宇野,23,0.00122%,86.584%
8333,目撃,23,0.00122%,86.585%
8334,甲府,23,0.00122%,86.586%
8335,今年,23,0.00122%,86.587%
8336,並,23,0.00122%,86.588%
8337,王子,23,0.00122%,86.590%
8338,支部,23,0.00122%,86.591%
8339,疾患,23,0.00122%,86.592%
8340,人権,23,0.00122%,86.593%
8341,お気に入り,23,0.00122%,86.594%
8342,別売り,23,0.00122%,86.596%
8343,藍,23,0.00122%,86.597%
8344,眼鏡,23,0.00122%,86.598%
8345,多重化,23,0.00122%,86.599%
8346,一色,23,0.00122%,86.601%
8347,奥,23,0.00122%,86.602%
8348,招集,23,0.00122%,86.603%
8349,アングル,22,0.00117%,86.604%
8350,コナン,22,0.00117%,86.605%
8351,蘇る,22,0.00117%,86.607%
8352,きり,22,0.00117%,86.608%
8353,小笠原,22,0.00117%,86.609%
8354,パトカー,22,0.00117%,86.610%
8355,待望,22,0.00117%,86.611%
8356,少量,22,0.00117%,86.612%
8357,達郎,22,0.00117%,86.614%
8358,若年層,22,0.00117%,86.615%
8359,かむ,22,0.00117%,86.616%
8360,根本,22,0.00117%,86.617%
8361,性能的,22,0.00117%,86.618%
8362,カナ,22,0.00117%,86.619%
8363,マフィア,22,0.00117%,86.621%
8364,立体的,22,0.00117%,86.622%
8365,大沢,22,0.00117%,86.623%
8366,大泉,22,0.00117%,86.624%
8367,シン,22,0.00117%,86.625%
8368,ワイン,22,0.00117%,86.626%
8369,近似,22,0.00117%,86.628%
8370,する作品,22,0.00117%,86.629%
8371,白紙,22,0.00117%,86.630%
8372,羽,22,0.00117%,86.631%
8373,リトル,22,0.00117%,86.632%
8374,トレード,22,0.00117%,86.633%
8375,ハイライト,22,0.00117%,86.635%
8376,経過後,22,0.00117%,86.636%
8377,商店,22,0.00117%,86.637%
8378,するがち,22,0.00117%,86.638%
8379,味,22,0.00117%,86.639%
8380,たつ,22,0.00117%,86.640%
8381,トランクス,22,0.00117%,86.642%
8382,丘,22,0.00117%,86.643%
8383,保守的,22,0.00117%,86.644%
8384,ストア,22,0.00117%,86.645%
8385,角川,22,0.00117%,86.646%
8386,持てる,22,0.00117%,86.647%
8387,チュートリアル,22,0.00117%,86.649%
8388,電話向け,22,0.00117%,86.650%
8389,涼,22,0.00117%,86.651%
8390,クルー,22,0.00117%,86.652%
8391,旧称,22,0.00117%,86.653%
8392,地盤,22,0.00117%,86.654%
8393,バッテリ,22,0.00117%,86.656%
8394,競馬場,22,0.00117%,86.657%
8395,着艦,22,0.00117%,86.658%
8396,下降,22,0.00117%,86.659%
8397,雅美,22,0.00117%,86.660%
8398,本戦,22,0.00117%,86.661%
8399,さらす,22,0.00117%,86.663%
8400,永見,22,0.00117%,86.664%
8401,リ,22,0.00117%,86.665%
8402,吉野,22,0.00117%,86.666%
8403,ニューハンプシャー州,22,0.00117%,86.667%
8404,食,22,0.00117%,86.668%
8405,つとめる,22,0.00117%,86.670%
8406,モットー,22,0.00117%,86.671%
8407,分配,22,0.00117%,86.672%
8408,ヒル,22,0.00117%,86.673%
8409,詰め込む,22,0.00117%,86.674%
8410,ノリ,22,0.00117%,86.676%
8411,クーパー,22,0.00117%,86.677%
8412,余り,22,0.00117%,86.678%
8413,ヘビー,22,0.00117%,86.679%
8414,砲台,22,0.00117%,86.680%
8415,ヒット作,22,0.00117%,86.681%
8416,重傷,22,0.00117%,86.683%
8417,将校,22,0.00117%,86.684%
8418,無断,22,0.00117%,86.685%
8419,ドラマ化,22,0.00117%,86.686%
8420,小池,22,0.00117%,86.687%
8421,頓挫,22,0.00117%,86.688%
8422,班,22,0.00117%,86.690%
8423,高齢者,22,0.00117%,86.691%
8424,なくす,22,0.00117%,86.692%
8425,仲本,22,0.00117%,86.693%
8426,おきる,22,0.00117%,86.694%
8427,シリコン,22,0.00117%,86.695%
8428,異変,22,0.00117%,86.697%
8429,受領,22,0.00117%,86.698%
8430,付随,22,0.00117%,86.699%
8431,仕掛け,22,0.00117%,86.700%
8432,書,22,0.00117%,86.701%
8433,突っ込む,22,0.00117%,86.702%
8434,進行中,22,0.00117%,86.704%
8435,打数,22,0.00117%,86.705%
8436,続投,22,0.00117%,86.706%
8437,潜在的,22,0.00117%,86.707%
8438,シャワー,22,0.00117%,86.708%
8439,参議院,22,0.00117%,86.709%
8440,ローラ,22,0.00117%,86.711%
8441,視野,22,0.00117%,86.712%
8442,ほど,22,0.00117%,86.713%
8443,連射,22,0.00117%,86.714%
8444,ラマ,22,0.00117%,86.715%
8445,フロッピー,22,0.00117%,86.716%
8446,剣士,22,0.00117%,86.718%
8447,斗山,22,0.00117%,86.719%
8448,ベイ,22,0.00117%,86.720%
8449,返上,22,0.00117%,86.721%
8450,石原,22,0.00117%,86.722%
8451,放火,22,0.00117%,86.723%
8452,スリーブ,22,0.00117%,86.725%
8453,小説家,22,0.00117%,86.726%
8454,録,22,0.00117%,86.727%
8455,面々,22,0.00117%,86.728%
8456,オクターブ,22,0.00117%,86.729%
8457,イエロー,22,0.00117%,86.730%
8458,服装,22,0.00117%,86.732%
8459,冷静,22,0.00117%,86.733%
8460,売買,22,0.00117%,86.734%
8461,ツーリングカー,22,0.00117%,86.735%
8462,まち,22,0.00117%,86.736%
8463,味わう,22,0.00117%,86.737%
8464,おろか,22,0.00117%,86.739%
8465,心配,22,0.00117%,86.740%
8466,トリオ,22,0.00117%,86.741%
8467,追従,22,0.00117%,86.742%
8468,あく,22,0.00117%,86.743%
8469,あみ,22,0.00117%,86.744%
8470,データバス,22,0.00117%,86.746%
8471,スーパーファミコン,22,0.00117%,86.747%
8472,番組番組,22,0.00117%,86.748%
8473,間接,22,0.00117%,86.749%
8474,住友,22,0.00117%,86.750%
8475,ディズニー,22,0.00117%,86.751%
8476,カッコ内,22,0.00117%,86.753%
8477,実写系,22,0.00117%,86.754%
8478,打診,22,0.00117%,86.755%
8479,モーツァルト,22,0.00117%,86.756%
8480,満了,22,0.00117%,86.757%
8481,龍一,22,0.00117%,86.758%
8482,鳥越,22,0.00117%,86.760%
8483,圏内,22,0.00117%,86.761%
8484,映す,22,0.00117%,86.762%
8485,青少年,22,0.00117%,86.763%
8486,ベネズエラ,22,0.00117%,86.764%
8487,佐野,22,0.00117%,86.765%
8488,新大阪駅,22,0.00117%,86.767%
8489,勉,22,0.00117%,86.768%
8490,不適切,22,0.00117%,86.769%
8491,溜まる,22,0.00117%,86.770%
8492,斗,22,0.00117%,86.771%
8493,定数式,22,0.00117%,86.772%
8494,持ち主,22,0.00117%,86.774%
8495,哨戒機,22,0.00117%,86.775%
8496,共和党員,22,0.00117%,86.776%
8497,全勝,22,0.00117%,86.777%
8498,翔,22,0.00117%,86.778%
8499,マリア,22,0.00117%,86.780%
8500,マリオ,22,0.00117%,86.781%
8501,勧める,22,0.00117%,86.782%
8502,出場者,22,0.00117%,86.783%
8503,州兵,22,0.00117%,86.784%
8504,押し出す,22,0.00117%,86.785%
8505,パーソナル,22,0.00117%,86.787%
8506,協議会,22,0.00117%,86.788%
8507,抽象的,22,0.00117%,86.789%
8508,鹵獲,22,0.00117%,86.790%
8509,経営陣,22,0.00117%,86.791%
8510,デー,22,0.00117%,86.792%
8511,直面,22,0.00117%,86.794%
8512,摩擦,22,0.00117%,86.795%
8513,癌,22,0.00117%,86.796%
8514,モール,22,0.00117%,86.797%
8515,試行,22,0.00117%,86.798%
8516,編集部,22,0.00117%,86.799%
8517,民生用,22,0.00117%,86.801%
8518,提起,22,0.00117%,86.802%
8519,連チャン,22,0.00117%,86.803%
8520,ギャング,22,0.00117%,86.804%
8521,聴取率,22,0.00117%,86.805%
8522,わく,22,0.00117%,86.806%
8523,希,22,0.00117%,86.808%
8524,新聞社,22,0.00117%,86.809%
8525,染色体,22,0.00117%,86.810%
8526,梶本,22,0.00117%,86.811%
8527,青森県,22,0.00117%,86.812%
8528,富士重工業,22,0.00117%,86.813%
8529,師匠,22,0.00117%,86.815%
8530,俗称,22,0.00117%,86.816%
8531,月期,22,0.00117%,86.817%
8532,厚,22,0.00117%,86.818%
8533,プロジェクタ,22,0.00117%,86.819%
8534,原曲,22,0.00117%,86.820%
8535,江東区,22,0.00117%,86.822%
8536,福岡市,22,0.00117%,86.823%
8537,符,22,0.00117%,86.824%
8538,ギリギリ,22,0.00117%,86.825%
8539,老舗,22,0.00117%,86.826%
8540,国防省,22,0.00117%,86.827%
8541,夕刊,22,0.00117%,86.829%
8542,諦める,22,0.00117%,86.830%
8543,格下げ,22,0.00117%,86.831%
8544,乱数,22,0.00117%,86.832%
8545,ドラえもん,22,0.00117%,86.833%
8546,ウインドウ,22,0.00117%,86.834%
8547,生存性,22,0.00117%,86.836%
8548,支給,22,0.00117%,86.837%
8549,ビジュアル,22,0.00117%,86.838%
8550,安,22,0.00117%,86.839%
8551,人造,22,0.00117%,86.840%
8552,通信料,22,0.00117%,86.841%
8553,興味深い,22,0.00117%,86.843%
8554,搬送,22,0.00117%,86.844%
8555,ギャル,22,0.00117%,86.845%
8556,徳島,22,0.00117%,86.846%
8557,サヨナラ勝ち,22,0.00117%,86.847%
8558,翻弄,22,0.00117%,86.848%
8559,挿絵,22,0.00117%,86.850%
8560,港区,22,0.00117%,86.851%
8561,出身者,22,0.00117%,86.852%
8562,総計,22,0.00117%,86.853%
8563,ビデオリサーチ,22,0.00117%,86.854%
8564,シール,22,0.00117%,86.855%
8565,歴史上,22,0.00117%,86.857%
8566,ラスベガス,22,0.00117%,86.858%
8567,狼,22,0.00117%,86.859%
8568,フォークランド,22,0.00117%,86.860%
8569,逃亡,22,0.00117%,86.861%
8570,アポロ,22,0.00117%,86.862%
8571,定時,22,0.00117%,86.864%
8572,沙織,22,0.00117%,86.865%
8573,高野,22,0.00117%,86.866%
8574,しのぐ,22,0.00117%,86.867%
8575,店内,22,0.00117%,86.868%
8576,紙幣,22,0.00117%,86.869%
8577,拓哉,22,0.00117%,86.871%
8578,加,22,0.00117%,86.872%
8579,ひどい,22,0.00117%,86.873%
8580,表れる,22,0.00117%,86.874%
8581,武史,22,0.00117%,86.875%
8582,後日談,22,0.00117%,86.877%
8583,都合上,22,0.00117%,86.878%
8584,くじゅう,22,0.00117%,86.879%
8585,余地,22,0.00117%,86.880%
8586,アトラクション,22,0.00117%,86.881%
8587,チェス,22,0.00117%,86.882%
8588,再開後,22,0.00117%,86.884%
8589,未満,22,0.00117%,86.885%
8590,網羅,22,0.00117%,86.886%
8591,衰退,22,0.00117%,86.887%
8592,警視庁,22,0.00117%,86.888%
8593,過言,22,0.00117%,86.889%
8594,人種,22,0.00117%,86.891%
8595,ペン,22,0.00117%,86.892%
8596,二ヶ国,22,0.00117%,86.893%
8597,相棒,22,0.00117%,86.894%
8598,納める,22,0.00117%,86.895%
8599,近距離,22,0.00117%,86.896%
8600,開拓,22,0.00117%,86.898%
8601,大会名,22,0.00117%,86.899%
8602,要,22,0.00117%,86.900%
8603,得票数,22,0.00117%,86.901%
8604,産経,22,0.00117%,86.902%
8605,エリ,22,0.00117%,86.903%
8606,ポルノ,22,0.00117%,86.905%
8607,規格上,22,0.00117%,86.906%
8608,タービン,22,0.00117%,86.907%
8609,準ずる,22,0.00117%,86.908%
8610,操車場,22,0.00117%,86.909%
8611,粒子,22,0.00117%,86.910%
8612,使い,21,0.00112%,86.912%
8613,どる,21,0.00112%,86.913%
8614,スキン,21,0.00112%,86.914%
8615,技能,21,0.00112%,86.915%
8616,芝,21,0.00112%,86.916%
8617,アーサー,21,0.00112%,86.917%
8618,ブラームス,21,0.00112%,86.918%
8619,織る,21,0.00112%,86.919%
8620,協調,21,0.00112%,86.920%
8621,ジャム,21,0.00112%,86.922%
8622,瞬く,21,0.00112%,86.923%
8623,市町村,21,0.00112%,86.924%
8624,障害者,21,0.00112%,86.925%
8625,刷新,21,0.00112%,86.926%
8626,待機,21,0.00112%,86.927%
8627,イギリス製,21,0.00112%,86.928%
8628,百恵,21,0.00112%,86.929%
8629,伸び悩む,21,0.00112%,86.930%
8630,開,21,0.00112%,86.932%
8631,黒江,21,0.00112%,86.933%
8632,テーゼ,21,0.00112%,86.934%
8633,封じる,21,0.00112%,86.935%
8634,安室,21,0.00112%,86.936%
8635,つよい,21,0.00112%,86.937%
8636,最前線,21,0.00112%,86.938%
8637,顔合わせ,21,0.00112%,86.939%
8638,心臓,21,0.00112%,86.941%
8639,アドバイス,21,0.00112%,86.942%
8640,少ないさ,21,0.00112%,86.943%
8641,中国人,21,0.00112%,86.944%
8642,川端,21,0.00112%,86.945%
8643,趣向,21,0.00112%,86.946%
8644,セレクション,21,0.00112%,86.947%
8645,集まり,21,0.00112%,86.948%
8646,ライ,21,0.00112%,86.949%
8647,紫,21,0.00112%,86.951%
8648,中傷,21,0.00112%,86.952%
8649,島原,21,0.00112%,86.953%
8650,度重なる,21,0.00112%,86.954%
8651,時代遅れ,21,0.00112%,86.955%
8652,メロディー,21,0.00112%,86.956%
8653,疑問視,21,0.00112%,86.957%
8654,御三家,21,0.00112%,86.958%
8655,カーブ,21,0.00112%,86.959%
8656,小次郎,21,0.00112%,86.961%
8657,地理,21,0.00112%,86.962%
8658,ファミリ,21,0.00112%,86.963%
8659,大地,21,0.00112%,86.964%
8660,偉大,21,0.00112%,86.965%
8661,気分,21,0.00112%,86.966%
8662,受賞者,21,0.00112%,86.967%
8663,出来上がる,21,0.00112%,86.968%
8664,楽しみ,21,0.00112%,86.970%
8665,露呈,21,0.00112%,86.971%
8666,駐車場,21,0.00112%,86.972%
8667,ドライ,21,0.00112%,86.973%
8668,石ノ森,21,0.00112%,86.974%
8669,順延,21,0.00112%,86.975%
8670,シネマ,21,0.00112%,86.976%
8671,降着,21,0.00112%,86.977%
8672,野口,21,0.00112%,86.978%
8673,妥協,21,0.00112%,86.980%
8674,内野手,21,0.00112%,86.981%
8675,双葉社,21,0.00112%,86.982%
8676,読み切り,21,0.00112%,86.983%
8677,白色,21,0.00112%,86.984%
8678,ドレス,21,0.00112%,86.985%
8679,三角形,21,0.00112%,86.986%
8680,タイ記録,21,0.00112%,86.987%
8681,戒律,21,0.00112%,86.988%
8682,座標,21,0.00112%,86.990%
8683,差分,21,0.00112%,86.991%
8684,小品,21,0.00112%,86.992%
8685,てれ,21,0.00112%,86.993%
8686,抵触,21,0.00112%,86.994%
8687,格闘戦,21,0.00112%,86.995%
8688,乗り越える,21,0.00112%,86.996%
8689,樹脂,21,0.00112%,86.997%
8690,異名,21,0.00112%,86.999%
8691,建築家,21,0.00112%,87.000%
8692,メーカ,21,0.00112%,87.001%
8693,札,21,0.00112%,87.002%
8694,ビルマ,21,0.00112%,87.003%
8695,経,21,0.00112%,87.004%
8696,利,21,0.00112%,87.005%
8697,半角,21,0.00112%,87.006%
8698,遊園地,21,0.00112%,87.007%
8699,上層部,21,0.00112%,87.009%
8700,パ林,21,0.00112%,87.010%
8701,ミキサー,21,0.00112%,87.011%
8702,戦闘力,21,0.00112%,87.012%
8703,政,21,0.00112%,87.013%
8704,繰り返し,21,0.00112%,87.014%
8705,自治,21,0.00112%,87.015%
8706,皆川,21,0.00112%,87.016%
8707,チャッカー,21,0.00112%,87.017%
8708,見劣り,21,0.00112%,87.019%
8709,怪物,21,0.00112%,87.020%
8710,する時期,21,0.00112%,87.021%
8711,マイコン,21,0.00112%,87.022%
8712,選択的,21,0.00112%,87.023%
8713,迷惑,21,0.00112%,87.024%
8714,隔月刊,21,0.00112%,87.025%
8715,かなう,21,0.00112%,87.026%
8716,コロン,21,0.00112%,87.028%
8717,ひと,21,0.00112%,87.029%
8718,連日,21,0.00112%,87.030%
8719,混雑,21,0.00112%,87.031%
8720,破れる,21,0.00112%,87.032%
8721,大晦日,21,0.00112%,87.033%
8722,級数,21,0.00112%,87.034%
8723,禍々しい,21,0.00112%,87.035%
8724,短波,21,0.00112%,87.036%
8725,正当,21,0.00112%,87.038%
8726,毒,21,0.00112%,87.039%
8727,ホームイン,21,0.00112%,87.040%
8728,日本向け,21,0.00112%,87.041%
8729,敷地,21,0.00112%,87.042%
8730,疲労,21,0.00112%,87.043%
8731,ダービー,21,0.00112%,87.044%
8732,アイディア,21,0.00112%,87.045%
8733,栗林,21,0.00112%,87.046%
8734,スチール,21,0.00112%,87.048%
8735,ケージ,21,0.00112%,87.049%
8736,食堂車,21,0.00112%,87.050%
8737,金石,21,0.00112%,87.051%
8738,自力,21,0.00112%,87.052%
8739,本田技研工業,21,0.00112%,87.053%
8740,好成績,21,0.00112%,87.054%
8741,つづく,21,0.00112%,87.055%
8742,コンセント,21,0.00112%,87.057%
8743,即売会,21,0.00112%,87.058%
8744,癒す,21,0.00112%,87.059%
8745,時短,21,0.00112%,87.060%
8746,環境下,21,0.00112%,87.061%
8747,杉村,21,0.00112%,87.062%
8748,技術力,21,0.00112%,87.063%
8749,町田,21,0.00112%,87.064%
8750,小型機,21,0.00112%,87.065%
8751,罠,21,0.00112%,87.067%
8752,遊べる,21,0.00112%,87.068%
8753,宋,21,0.00112%,87.069%
8754,延伸,21,0.00112%,87.070%
8755,第三,21,0.00112%,87.071%
8756,平塚,21,0.00112%,87.072%
8757,移動体,21,0.00112%,87.073%
8758,モノラル,21,0.00112%,87.074%
8759,一貫性,21,0.00112%,87.075%
8760,症候群,21,0.00112%,87.077%
8761,占有,21,0.00112%,87.078%
8762,密着,21,0.00112%,87.079%
8763,希少,21,0.00112%,87.080%
8764,電磁気学,21,0.00112%,87.081%
8765,サブルーチン,21,0.00112%,87.082%
8766,初音島,21,0.00112%,87.083%
8767,試合目,21,0.00112%,87.084%
8768,天皇杯,21,0.00112%,87.086%
8769,個性的,21,0.00112%,87.087%
8770,阻む,21,0.00112%,87.088%
8771,価値観,21,0.00112%,87.089%
8772,電波源,21,0.00112%,87.090%
8773,在学中,21,0.00112%,87.091%
8774,振興,21,0.00112%,87.092%
8775,ゲームセンター,21,0.00112%,87.093%
8776,総集編,21,0.00112%,87.094%
8777,後期型,21,0.00112%,87.096%
8778,岐阜県,21,0.00112%,87.097%
8779,茶,21,0.00112%,87.098%
8780,舵,21,0.00112%,87.099%
